Record	Species	Country	Locality	Latitude Y	Longitude X	Reliability	host	year	authority
26656	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.5944	30.0776	M1	not individually recorded	1975-1980	130
26657	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.2523	30.9342	M1	not individually recorded	1975-1980	130
26658	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.2509	31.4322	M1	not individually recorded	1975-1980	130
26659	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.8238	31.2447	M1	not individually recorded	1975-1980	130
26660	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.927	31.279	M1	not individually recorded	1975-1980	130
26661	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.884	31.3244	M1	not individually recorded	1975-1980	130
26662	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.9576	31.3408	M1	not individually recorded	1975-1980	130
26663	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.042	31.2988	M1	not individually recorded	1975-1980	130
26664	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.0824	31.3735	M1	not individually recorded	1975-1980	130
26665	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.2198	31.5218	M1	not individually recorded	1975-1980	130
26666	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.1054	32.3284	M1	not individually recorded	1975-1980	130
26667	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.1028	32.2779	M1	not individually recorded	1975-1980	130
26668	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.4214	26.1446	M1	not individually recorded	1975-1980	130
26669	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.3574	28.4759	M1	not individually recorded	1975-1980	130
26670	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.4026	28.488	M1	not individually recorded	1975-1980	130
26671	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.7575	29.973	M1	not individually recorded	1975-1980	130
26672	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.3016	30.9581	M1	not individually recorded	1975-1980	130
26673	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.2718	31.4785	M1	not individually recorded	1975-1980	130
26674	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.8987	25.6931	M1	not individually recorded	1975-1980	130
26675	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.5509	29.5124	M1	not individually recorded	1975-1980	130
26676	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.5726	29.458	M1	not individually recorded	1975-1980	130
26677	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.7023	29.7749	M1	not individually recorded	1975-1980	130
26678	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.3743	28.4286	M1	not individually recorded	1975-1980	130
26679	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.607	31.9731	M1	not individually recorded	1975-1980	130
26680	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.9146	29.9577	M1	not individually recorded	1975-1980	130
26681	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.7184	32.0904	M1	not individually recorded	1975-1980	130
26682	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.5947	30.4653	M1	not individually recorded	1975-1980	130
26683	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.5798	30.5114	M1	not individually recorded	1975-1980	130
26684	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.3716	30.9147	M1	not individually recorded	1975-1980	130
26685	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.0986	29.4635	M1	not individually recorded	1975-1980	130
26686	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.4506	32.2116	M1	not individually recorded	1975-1980	130
26687	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.4687	32.1575	M1	not individually recorded	1975-1980	130
26688	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.3992	32.3089	M1	not individually recorded	1975-1980	130
26689	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.785	29.5595	M1	not individually recorded	1975-1980	130
26690	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.798	30.3241	M1	not individually recorded	1975-1980	130
26691	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.5506	32.2989	M1	not individually recorded	1975-1980	130
26692	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.7676	32.1068	M1	not individually recorded	1975-1980	130
26693	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.7942	32.1296	M1	not individually recorded	1975-1980	130
26694	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.5837	32.1661	M1	not individually recorded	1975-1980	130
26695	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.8559	29.8198	M1	not individually recorded	1975-1980	130
26696	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6254	30.1562	M1	not individually recorded	1975-1980	130
26697	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.9263	31.9962	M1	not individually recorded	1975-1980	130
26698	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.3875	31.6258	M1	not individually recorded	1975-1980	130
26699	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.293	26.1936	M1	not individually recorded	1975-1980	130
26700	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.3223	26.1641	M1	not individually recorded	1975-1980	130
26701	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.5112	26.1676	M1	not individually recorded	1975-1980	130
26702	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.5183	26.2195	M1	not individually recorded	1975-1980	130
26703	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.3377	28.5213	M1	not individually recorded	1975-1980	130
26704	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6048	31.5582	M1	not individually recorded	1975-1980	130
26705	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.8998	32.067	M1	not individually recorded	1975-1980	130
26706	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.5232	30.662	M1	not individually recorded	1975-1980	130
26707	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.4561	31.5601	M1	not individually recorded	1975-1980	130
26708	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.3371	31.676	M1	not individually recorded	1975-1980	130
26709	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6147	31.2671	M1	not individually recorded	1975-1980	130
26710	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.5758	31.2794	M1	not individually recorded	1975-1980	130
26711	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6129	31.3249	M1	not individually recorded	1975-1980	130
26712	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6025	30.903	M1	not individually recorded	1975-1980	130
26713	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.5533	30.9399	M1	not individually recorded	1975-1980	130
26714	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6007	31.1777	M1	not individually recorded	1975-1980	130
26715	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-20.9853	32.0196	M1	not individually recorded	1975-1980	130
26716	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.2949	31.7742	M1	not individually recorded	1975-1980	130
26717	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.4516	29.449	M1	not individually recorded	1975-1980	130
26718	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.0508	30.3944	M1	not individually recorded	1975-1980	130
26719	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.1861	29.3324	M1	not individually recorded	1975-1980	130
26720	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.9772	29.8949	M1	not individually recorded	1975-1980	130
26721	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6024	30.9776	M1	not individually recorded	1975-1980	130
26722	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.9774	28.9356	M1	not individually recorded	1975-1980	130
26723	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.6072	30.1982	M1	not individually recorded	1975-1980	130
26724	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.9558	29.3967	M1	not individually recorded	1975-1980	130
26725	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.1095	30.1819	M1	not individually recorded	1975-1980	130
26726	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.8433	31.5733	M1	not individually recorded	1975-1980	130
26727	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.9181	27.9035	M1	not individually recorded	1975-1980	130
26728	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.4104	30.5989	M1	not individually recorded	1975-1980	130
26729	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.3894	30.6427	M1	not individually recorded	1975-1980	130
26730	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.8439	31.48	M1	not individually recorded	1975-1980	130
26731	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.8066	31.5011	M1	not individually recorded	1975-1980	130
26732	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.7938	31.4558	M1	not individually recorded	1975-1980	130
26733	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6635	31.2569	M1	not individually recorded	1975-1980	130
26734	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.178	28.1649	M1	not individually recorded	1975-1980	130
26735	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.1516	28.1276	M1	not individually recorded	1975-1980	130
26736	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.6745	31.1834	M1	not individually recorded	1975-1980	130
26737	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-16.4245	31.1601	M1	not individually recorded	1975-1980	130
26738	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.8763	28.9929	M1	not individually recorded	1975-1980	130
26739	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.9106	28.9735	M1	not individually recorded	1975-1980	130
26740	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.9116	29.0234	M1	not individually recorded	1975-1980	130
26741	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.9449	28.9896	M1	not individually recorded	1975-1980	130
26742	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.9368	31.4695	M1	not individually recorded	1975-1980	130
26743	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.9306	31.5185	M1	not individually recorded	1975-1980	130
26744	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-21.7753	31.805	M1	not individually recorded	1975-1980	130
26745	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-18.1131	28.1848	M1	not individually recorded	1975-1980	130
26746	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.1921	30.6731	M1	not individually recorded	1975-1980	130
26747	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.9691	28.1277	M1	not individually recorded	1975-1980	130
26748	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.7356	29.1003	M1	not individually recorded	1975-1980	130
26749	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.3114	31.0035	M1	not individually recorded	1975-1980	130
26750	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.112	31.213	M1	not individually recorded	1975-1980	130
26751	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.0922	31.2689	M1	not individually recorded	1975-1980	130
26752	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-22.14	31.2675	M1	not individually recorded	1975-1980	130
26753	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.7209	28.9402	M1	not individually recorded	1975-1980	130
26754	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.8859	27.95	M1	not individually recorded	1975-1980	130
26755	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.5864	28.9372	M1	not individually recorded	1975-1980	130
26756	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.4887	28.867	M1	not individually recorded	1975-1980	130
26757	Rhipicephalus evertsi evertsi	Zimbabwe	not given	-17.8328	27.7346	M1	not individually recorded	1975-1980	130
26758	Rhipicephalus evertsi mimeticus	Angola	Caconda	-13.73333333	15.06666667	G1	not individually recorded	before 1948	195
26759	Rhipicephalus evertsi mimeticus	Angola	Chenga in Caala	-12.86666667	15.13333333	G1	not individually recorded	before 1948	195
26760	Rhipicephalus evertsi mimeticus	Angola	Humpata	-15.01666667	13.38333333	G1	not individually recorded	before 1948	195
26761	Rhipicephalus evertsi mimeticus	Angola	Lepi	-12.86666667	15.4	G1	not individually recorded	before 1948	195
26762	Rhipicephalus evertsi mimeticus	Angola	Luangulo (Luangula = Luazira ?)	-14.36666667	21.45	G1	Sus scrofa	1956	32
26763	Rhipicephalus evertsi mimeticus	Angola	Luapasso	-8.233333333	20.75	G1	"Bos taurus, Equus burchelli "	1955	32
26764	Rhipicephalus evertsi mimeticus	Angola	Maludi	-8.016666667	21.3	G1	Bos taurus 	1955	32
26765	Rhipicephalus evertsi mimeticus	Angola	Muceques in Luanda	-8.816666667	13.28333333	G1	not individually recorded	before 1948	195
26766	Rhipicephalus evertsi mimeticus	Angola	"Naulila, Cuamato"	-17.2	14.68333333	G1	not individually recorded	before 1948	195
26767	Rhipicephalus evertsi mimeticus	Angola	Nova Lisboa (=Huambo)	-12.76666667	15.73333333	G1	not individually recorded	before 1948	195
26768	Rhipicephalus evertsi mimeticus	Angola	Onquenho (Mulondo) in Gambos	-15.65	15.2	G2	not individually recorded	before 1948	195
26769	Rhipicephalus evertsi mimeticus	Angola	Perreira d'Eca (Ondjiva)	-17.06666667	15.73333333	G1	not individually recorded	before 1948	195
26770	Rhipicephalus evertsi mimeticus	Angola	Quipeio	-12.43333333	15.51666667	G1	not individually recorded	before 1948	195
26771	Rhipicephalus evertsi mimeticus	Angola	Sa da Bandeira (Bandeira coords)	-14.01666667	15.18333333	G2	not individually recorded	before 1948	195
26772	Rhipicephalus evertsi mimeticus	Angola	Vila Nova	-12.63333333	16.05	G1	not individually recorded	before 1948	195
26773	Rhipicephalus evertsi mimeticus	Botswana	not given	-21.778	21.6431	M2	not individually recorded	1976-1979	240
26774	Rhipicephalus evertsi mimeticus	Botswana	not given	-22.3014	21.889	M2	not individually recorded	1976-1979	240
26775	Rhipicephalus evertsi mimeticus	Botswana	not given	-23.1775	20.8811	M2	not individually recorded	1976-1979	240
26776	Rhipicephalus evertsi mimeticus	Botswana	not given	-22.0718	20.5217	M2	not individually recorded	1976-1979	240
26777	Rhipicephalus evertsi mimeticus	Botswana	not given	-23.7662	22.8923	M2	not individually recorded	1976-1979	240
26778	Rhipicephalus evertsi mimeticus	Botswana	not given	-23.915	22.7874	M2	not individually recorded	1976-1979	240
26779	Rhipicephalus evertsi mimeticus	Botswana	not given	-24.5359	23.9029	M2	not individually recorded	1976-1979	240
26780	Rhipicephalus evertsi mimeticus	Botswana	not given	-24.2305	24.4658	M2	not individually recorded	1976-1979	240
26781	Rhipicephalus evertsi mimeticus	Botswana	not given	-22.1958	20.374	M1	not individually recorded	before 1978	206
26782	Rhipicephalus evertsi mimeticus	Botswana	not given	-22.4072	20.0848	M1	not individually recorded	before 1978	206
26783	Rhipicephalus evertsi mimeticus	Botswana	not given	-21.6042	21.6744	M1	not individually recorded	before 1978	206
26784	Rhipicephalus evertsi mimeticus	Namibia	Etosha Pan	-18.83333333	16.33333333	G1	"Taurotragus oryx, Gorgon taurinus, Girafa cameleopardis"	1952	308
26785	Rhipicephalus evertsi mimeticus	Namibia	Omaruru	-21.43333333	15.93333333	G1	"horses, cattle, Tragelaphus strepsiceros"	before 1925	"268, 308"
26786	Rhipicephalus evertsi mimeticus	Namibia	Outjo district	-20.11666667	16.15	G2	"Sylvicapra grimmia, Rhapicus campestris, Oryx gazella, Equus burchelli, cattle"	1952	308
26787	Rhipicephalus evertsi mimeticus	Nigeria	Kano	12	8.516666667	G1	Cricetomys buchanani	1926	147
26788	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Banana	-6.016666667	12.4	G1	not recorded	1910	274
26789	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Bokala	-3.133333333	17.08333333	A1	buffalo	before 1957	274
26790	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Boma	-5.816666667	13.83333333	A1	not recorded	before 1966	274
26791	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Dolo (Ndolo)	-4.316666667	15.31666667	G1	not recorded	"1908, 1926-7"	"274, 12"
26792	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Dungu	3.633333333	28.55	A1	cattle and not recorded	"1909, 1926-7"	"274, 12"
26793	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Faradje	3.733333333	29.71666667	G1	not recorded	1926-1927	12
26794	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Galiema	-4.316666667	15.25	G1	cattle	"1908, 1926-1927"	"274, 12"
26795	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Ile de Mateba	-5.9	12.8333333	G1	cattle	1912	360
26796	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Irumu	1.45	29.86666667	G1	not recorded	1926-7 and before 1957	"274, 12"
26797	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Kitobola	-5.366666667	14.51666667	G1	cattle	1926-1927	"274, 12"
26798	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Mateba (Island of)	-5.9	12.83333333	G1	not recorded	1926-1927	12
26799	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Mateba (Isle)	-5.833333333	12.91666667	A1	cattle	before 1966	274
26800	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Uele	4.15	22.43333333	G2	not individually recorded	before 1962	193
26801	Rhipicephalus evertsi mimeticus	DR Congo (former Zaire)	Zambi	-5.85	12.86666667	A1	not recorded	before 1966	274
26802	Rhipicephalus excinctus	Somalia	Matagoi	1.983333333	43.13333333	G1	not recorded	before 1934	272
26803	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-33.537958	23.605851	M2	not individually recorded	before 1993	355
26804	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-33.479112	26.618319	M2	not individually recorded	before 1993	355
26805	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-33.470319	19.662777	M2	not individually recorded	before 1993	355
26806	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-32.549645	22.550925	M2	not individually recorded	before 1993	355
26807	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-32.506691	24.508803	M2	not individually recorded	before 1993	355
26808	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-32.49105	25.564636	M2	not individually recorded	before 1993	355
26809	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-29.486265	24.523804	M2	not individually recorded	before 1993	355
26810	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-27.515206	16.381546	M2	not individually recorded	before 1993	355
26811	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-27.487835	18.357456	M2	not individually recorded	before 1993	355
26812	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-27.483662	19.43932	M2	not individually recorded	before 1993	355
26813	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-27.451622	17.356108	M2	not individually recorded	before 1993	355
26814	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-26.614205	17.410313	M2	not individually recorded	before 1993	355
26815	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-26.555894	16.399775	M2	not individually recorded	before 1993	355
26816	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-26.514156	18.470519	M2	not individually recorded	before 1993	355
26817	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-25.573252	15.377238	M2	not individually recorded	before 1993	355
26818	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-25.571941	17.394853	M2	not individually recorded	before 1993	355
26819	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-25.569096	16.445474	M2	not individually recorded	before 1993	355
26820	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-25.560427	18.463105	M2	not individually recorded	before 1993	355
26821	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-25.5442	20.413255	M2	not individually recorded	before 1993	355
26822	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-24.550814	16.396736	M2	not individually recorded	before 1993	355
26823	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-24.509936	17.45494	M2	not individually recorded	before 1993	355
26824	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-24.483971	23.46293	M2	not individually recorded	before 1993	355
26825	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-23.593735	15.36963	M2	not individually recorded	before 1993	355
26826	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-23.530291	17.422857	M2	not individually recorded	before 1993	355
26827	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-22.618411	29.543731	M2	not individually recorded	before 1993	355
26828	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-22.604671	15.372934	M2	not individually recorded	before 1993	355
26829	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-22.562101	19.433972	M2	not individually recorded	before 1993	355
26830	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-22.552107	17.348283	M2	not individually recorded	before 1993	355
26831	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-21.595218	15.38056	M2	not individually recorded	before 1993	355
26832	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-21.550788	16.390684	M2	not individually recorded	before 1993	355
26833	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-20.579311	16.37199	M2	not individually recorded	before 1993	355
26834	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-20.527905	17.461401	M2	not individually recorded	before 1993	355
26835	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-19.650205	14.305065	M2	not individually recorded	before 1993	355
26836	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-19.576998	15.391183	M2	not individually recorded	before 1993	355
26837	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-19.554613	16.409238	M2	not individually recorded	before 1993	355
26838	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-19.543055	17.392225	M2	not individually recorded	before 1993	355
26839	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-18.674573	13.344327	M2	not individually recorded	before 1993	355
26840	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-18.582392	16.508489	M2	not individually recorded	before 1993	355
26841	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-18.559186	18.427234	M2	not individually recorded	before 1993	355
26842	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-18.537927	17.435131	M2	not individually recorded	before 1993	355
26843	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-17.671245	12.480736	M2	not individually recorded	before 1993	355
26844	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-17.601518	13.451625	M2	not individually recorded	before 1993	355
26845	Rhipicephalus exopthalmos	Namibia/RSA/Botswana	not specified	-17.533496	18.496728	M2	not individually recorded	before 1993	355
26846	Rhipicephalus falcatus	Angola	San Salvador (=M'banza Congo)	-6.266666667	14.25	G1	not individually recorded	before 1962	193
26847	Rhipicephalus falcatus	Uganda	Gulu district	2.783333333	32.3	G2	Phacocoerus aethiopicus	before 1947	188
26848	Rhipicephalus follis	RSA	"Starvation camp, Gonubie Park"	-32.91666667	26.01666667	A1	cattle	1912	360
26849	Rhipicephalus follis	Swaziland	Malolotja Nature Reserve	-26.11666667	31.08333333	M3	warthog	1985-1986	55
26850	Rhipicephalus fulvus	Algeria	El Kantara	35.21666667	3.283333333	A1	Ctenodactylus gundi	1913	360
26851	Rhipicephalus fulvus	Tchad	Mt Koussi (Ennedi)	19.83333333	18.5	G1	not recorded	before 1961	251
26852	Rhipicephalus fulvus	Tchad	oued Koudou	21.78333333	17.4	G1	not recorded	before 1961	251
26853	Rhipicephalus fulvus	Tunisia	Matmatah	33.55	8.033333333	A1	Ctenodactylus gundi	1913	360
26854	Rhipicephalus gertrudae	Malawi	"Kaporo, near Songwe river"	-9.75	32.08333333	A1	Potamochoerus porcus	1909	360
26855	Rhipicephalus glabroscutatum	RSA	Addo Elephant Park	-33.48333333	25.75	A1	"Syncerus caffer (buffalo), Alcelaphus buselaphus caama (red hartebeeste)"	1970	229
26856	Rhipicephalus glabroscutatum	RSA	Andries Vosloo Kudu Reserve	-33.11666667	26.66666667	A1	"eland, greater kudu"	1982-1983	88
26857	Rhipicephalus glabroscutatum	RSA	Andries Vosloo Kudu Reserve	-33.11666667	26.71666667	A1	Tragelaphus strepsiceros (kudu)	1981	229
26858	Rhipicephalus glabroscutatum	RSA	Ashbourne	-32.4	25.08333333	A1	merino sheep	1978	229
26859	Rhipicephalus glabroscutatum	RSA	Barrydale	-33.9	20.73333333	A1	"sheep, goats"	1962	229
26860	Rhipicephalus glabroscutatum	RSA	Beaufort West	-32.35	22.58333333	A1	"sheep, goats"	1962	229
26861	Rhipicephalus glabroscutatum	RSA	Brakhill	-33.55	25.41666667	A1	"Tragelaphus strepsiceros (kudu), Sylvicapra grimmia (Grey duiker)"	1981	229
26862	Rhipicephalus glabroscutatum	RSA	"Bucklands Farm, E Cape"	-33.1	26.68333333	A1	angora goats	1985-1987	86
26863	Rhipicephalus glabroscutatum	RSA	"Bucklands Farm, Great Fish Valley"	-33.08333333	26.71666667	A1	Tragelaphus strepsiceros (kudu)	"1976, 1977"	229
26864	Rhipicephalus glabroscutatum	RSA	Fairview Aberdeen	-32.51666667	23.98333333	A1	"sheep, goats"	1962	229
26865	Rhipicephalus glabroscutatum	RSA	"Glenconnor, Uitenhage"	-33.4	25.16666667	A1	angora goats	1937	229
26866	Rhipicephalus glabroscutatum	RSA	Graaf Reinet	-32.25	24.53333333	A1	"sheep, goats"	1962	229
26867	Rhipicephalus glabroscutatum	RSA	"Homestead, Oudtshoorn"	-33.63333333	22.38333333	A1	boer goat	1948	229
26868	Rhipicephalus glabroscutatum	RSA	Jansenville	-32.93333333	24.66666667	A1	"sheep, goats, Rhapicerus campestris (steenbok)"	1962	229
26869	Rhipicephalus glabroscutatum	RSA	Jouberts Kraal	-32.73333333	25.1	A1	shorthorn cattle	1978	229
26870	Rhipicephalus glabroscutatum	RSA	"Langebaan, Hopefield District"	-33.1	18.03333333	G1	not individually recorded	before 1991	204
26871	Rhipicephalus glabroscutatum	RSA	Libertas	-32.38333333	25.01666667	A1	"merino sheep, angora goats"	1978	229
26872	Rhipicephalus glabroscutatum	RSA	Middelburg	-31.5	25	A1	"sheep, goats"	1962	229
26873	Rhipicephalus glabroscutatum	RSA	Mountain Zebra National Park	-32.26666667	25.43333333	A1	"Oryx gazella (gemsbok), Equus zebra (Mt. zebra), Damaliscus dorcas (blesbok), Redunca fulvorufula (Mt. reedbuck)"	1979	229
26874	Rhipicephalus glabroscutatum	RSA	Mountain Zebra National Park	-32.25	24.68333333	A1	gemsbok	1982-1983	88
26875	Rhipicephalus glabroscutatum	RSA	Oudtshoorn	-33.6	22.2	A1	"sheep, goats"	1962	229
26876	Rhipicephalus glabroscutatum	RSA	Pearston	-32.58333333	25.15	A1	"sheep, goats"	1962	229
26877	Rhipicephalus glabroscutatum	RSA	Somerset East	-32.73333333	25.58333333	A1	"sheep, goats"	1962	229
